id,country,year,continent,least_developed,life_expectancy,population,co2_emissions,health_expenditure,electric_power_consumption,forest_area,gdp_per_capita,individuals_using_the_internet,military_expenditure,people_practicing_open_defecation,people_using_at_least_basic_drinking_water_services,obesity_among_adults,beer_consumption_per_capita,avg_years_of_schooling,secondary_enroll,annotations
0,Albania,2005,Europe,False,75.228,3011487,1.338209399,6.33554173,1797.525487,28.30967153,5865.301904,6.043890864,1.350004971,0.623198199,89.02118831,15.6,1.6518,9.1,77.90939331,"{'scatterPlot_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}, 'heatMap_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}, 'timePlot_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}}"
1,Albania,2006,Europe,False,75.423,2992547,1.339995739,6.00927734,1722.07285,28.35627737,6566.572828,9.609991316,1.567769089,0.571934833,89.51913233,16.2,1.7933,9.2,79.18955231,"{'scatterPlot_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}, 'heatMap_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}, 'timePlot_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}}"
2,Albania,2007,Europe,False,75.646,2970017,1.39393137,6.31683397,1218.360146,28.40288321,7283.342638,15.03611541,1.820765344,0.521500352,90.00418728,16.9,1.94369,9.2,82.20059204,"{'scatterPlot_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}, 'heatMap_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}, 'timePlot_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}}"
3,Albania,2008,Europe,False,75.912,2947314,1.384311249,5.1390624,1213.124369,28.44948905,8228.348041,23.86,1.984868857,0.471902868,90.47615076,17.5,2.12835,9.2,84.12509155,"{'scatterPlot_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}, 'heatMap_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}, 'timePlot_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}}"
4,Albania,2009,Europe,False,76.221,2927519,1.441493562,4.6022253,1617.744156,28.49609489,8813.029461,41.2,1.51721714,0.423170008,90.93441293,18.1,2.20543,9.3,85.69499207,"{'scatterPlot_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}, 'heatMap_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}, 'timePlot_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}}"
5,Albania,2010,Europe,False,76.562,2913021,1.527623663,4.7457962,1835.684072,28.54270073,9628.721962,45.0,1.558591893,0.375274153,91.37947821,18.7,1.71,9.3,88.10388947,"{'scatterPlot_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}, 'heatMap_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}, 'timePlot_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}}"
6,Algeria,2005,Africa,False,73.072,33149720,2.841351373,3.2351613,804.1073343,0.734127151,11411.19178,5.843942092,2.83417835,4.263133992,91.12824941,17.9,0.29652,6.9,78.98921204,"{'scatterPlot_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}, 'heatMap_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}, 'timePlot_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}}"
7,Algeria,2006,Africa,False,73.521,33641007,2.966914681,3.35510182,890.6259238,0.748360442,11788.56019,7.375984956,2.643807548,3.903086061,91.37095552,18.6,0.17637,7.0,79.88452911,"{'scatterPlot_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}, 'heatMap_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}, 'timePlot_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}}"
8,Algeria,2007,Africa,False,73.936,34166976,3.007289846,3.8214159,862.4295937,0.762593734,12326.07701,9.451190626,2.923321027,3.554243607,91.60922889,19.2,0.16596,7.2,70.31385803,"{'scatterPlot_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}, 'heatMap_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}, 'timePlot_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}}"
9,Algeria,2008,Africa,False,74.311,34730604,3.102451083,4.20188379,894.2845864,0.776827026,12655.21847,10.18,3.024747141,3.216277793,91.84330409,19.9,0.20481,6.7,76.70108032,"{'scatterPlot_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}, 'heatMap_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}, 'timePlot_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}}"
10,Algeria,2009,Africa,False,74.644,35333882,3.174573294,5.3593955,947.2913284,0.791060317,12719.17915,11.23,3.848513698,2.890114176,92.07203717,20.7,0.19895,6.9,92.87783051,"{'scatterPlot_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}, 'heatMap_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}, 'timePlot_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}}"
11,Algeria,2010,Africa,False,74.938,35977451,3.173654529,5.11717176,866.3073024,0.805293609,13096.88473,12.5,3.518012609,2.574999351,92.29597417,21.4,0.18,7.1,96.93727875,"{'scatterPlot_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}, 'heatMap_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}, 'timePlot_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}}"
12,Argentina,2005,South America,False,74.451,38892924,3.753639235,7.61078882,2293.309488,11.61841495,13575.3709,17.72058337,0.847154784,1.978,97.42319597,22.8,2.42,9.1,92.76067352,"{'scatterPlot_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}, 'heatMap_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}, 'timePlot_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}}"
13,Argentina,2006,South America,False,74.62,39289876,3.94249129,7.64032841,2408.432958,11.50280083,14967.625,20.9272021,0.788233877,1.976227394,97.63347995,23.2,2.57,9.0,91.81352997,"{'scatterPlot_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}, 'heatMap_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}, 'timePlot_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}}"
14,Argentina,2007,South America,False,74.787,39684303,4.102629636,7.83455086,2374.097592,11.38718671,16590.24897,25.94663294,0.792548175,1.925728699,97.83887029,23.7,2.75,8.9,91.91613007,"{'scatterPlot_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}, 'heatMap_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}, 'timePlot_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}}"
15,Argentina,2008,South America,False,74.952,40080159,4.172388531,8.18266869,2455.656081,11.27157259,17420.68009,28.11262348,0.762756475,1.875211469,98.03963014,24.2,3.16,8.9,93.23705292,"{'scatterPlot_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}, 'heatMap_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}, 'timePlot_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}}"
16,Argentina,2009,South America,False,75.116,40482786,3.867569967,9.45598793,2772.843291,11.15595848,16330.6328,34.0,0.886508577,1.824743276,98.23571573,24.7,3.23,9.3,96.61971283,"{'scatterPlot_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}, 'heatMap_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}, 'timePlot_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}}"
17,Argentina,2010,South America,False,75.278,40788453,4.099689714,9.44546986,2730.123367,11.04034436,18063.91434,45.0,0.814878105,1.774327746,98.42725533,25.3,3.32,9.8,99.50125885,"{'scatterPlot_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}, 'heatMap_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}, 'timePlot_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}}"
18,Armenia,2005,Asia,False,72.626,2981262,1.496010763,5.86188269,1440.32339,11.64734809,5458.089259,5.252983352,2.871931363,0.064025825,96.67127128,15.7,0.27547,10.9,92.05428314,"{'scatterPlot_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}, 'heatMap_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}, 'timePlot_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}}"
19,Armenia,2006,Asia,False,72.716,2958301,1.51776299,5.85007095,1521.50331,11.64004215,6418.636417,5.631787777,2.947613156,0.058365731,96.97262891,16.0,0.36122,10.9,94.94132996,"{'scatterPlot_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}, 'heatMap_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}, 'timePlot_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}}"
20,Armenia,2007,Asia,False,72.815,2932615,1.773161431,5.49814558,1639.79257,11.63273621,7560.868364,6.021253397,3.042574701,0.052721077,97.27617604,16.3,0.38343,11.0,96.42764282,"{'scatterPlot_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}, 'heatMap_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}, 'timePlot_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}}"
21,Armenia,2008,Asia,False,72.946,2907615,1.956930356,6.6397624,1773.161496,11.62543028,8308.414216,6.21,3.395579363,0.047092496,97.58203679,16.7,0.41888,11.0,94.97048187,"{'scatterPlot_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}, 'heatMap_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}, 'timePlot_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}}"
22,Armenia,2009,Asia,False,73.118,2888094,1.561583601,8.44377995,1669.409464,11.61812434,7231.220897,15.3,4.157049908,0.041479516,97.89011617,17.0,0.32738,11.1,100.125618,"{'scatterPlot_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}, 'heatMap_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}, 'timePlot_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}}"
23,Armenia,2010,Asia,False,73.331,2877314,1.508351244,9.23539066,1661.303268,11.61081841,7507.144766,25.0,4.265646056,0.035882412,98.2004766,17.5,0.4,11.1,104.7133179,"{'scatterPlot_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}, 'heatMap_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}, 'timePlot_annotations': {'x_coordinate': '', 'y_coordinate': '', 'annotation': ''}}"
